z_target = 0.01 | z_anchor = 0.000 | Order = 0 | Background = -0.9999908669258093
z_target = 0.01 | z_anchor = 0.000 | Order = 1 | Background = -0.08668524090451443
z_target = 0.01 | z_anchor = 0.000 | Order = 2 | Background = -0.10423132736442774
z_target = 0.01 | z_anchor = 0.000 | Order = 3 | Background = 0.29824818481602133
z_target = 0.01 | z_anchor = 0.007 | Order = 0 | Background = -0.29517488023879696
z_target = 0.01 | z_anchor = 0.007 | Order = 1 | Background = 0.0010387987073562717
z_target = 0.01 | z_anchor = 0.007 | Order = 2 | Background = -3.2192556880565954e-6
z_target = 0.01 | z_anchor = 0.007 | Order = 3 | Background = 1.372744653496705e-7
z_target = 0.01 | z_anchor = 0.013 | Order = 0 | Background = 0.29530172242145136
z_target = 0.01 | z_anchor = 0.013 | Order = 1 | Background = 0.001061427614726908
z_target = 0.01 | z_anchor = 0.013 | Order = 2 | Background = 2.9844029664982037e-6
z_target = 0.01 | z_anchor = 0.013 | Order = 3 | Background = -2.2564308491129555e-7
z_target = 0.01 | z_anchor = 0.019 | Order = 0 | Background = 0.8794702786945192
z_target = 0.01 | z_anchor = 0.019 | Order = 1 | Background = 0.009595428485579635
z_target = 0.01 | z_anchor = 0.019 | Order = 2 | Background = 8.08973457721042e-5
z_target = 0.01 | z_anchor = 0.019 | Order = 3 | Background = 3.5242750211240575e-7
z_target = 0.01 | z_anchor = 0.000 | Order = 0 | Background = -0.9999908669258093
z_target = 0.01 | z_anchor = 0.000 | Order = 1 | Background = -0.08668524090451443
z_target = 0.01 | z_anchor = 0.000 | Order = 2 | Background = -0.10423132736442774
z_target = 0.01 | z_anchor = 0.000 | Order = 3 | Background = 0.29824818481602133
z_target = 0.01 | z_anchor = 0.007 | Order = 0 | Background = -0.29517488023879696
z_target = 0.01 | z_anchor = 0.007 | Order = 1 | Background = 0.0010387987073562717
z_target = 0.01 | z_anchor = 0.007 | Order = 2 | Background = -3.2192556880565954e-6
z_target = 0.01 | z_anchor = 0.007 | Order = 3 | Background = 1.372744653496705e-7
z_target = 0.01 | z_anchor = 0.013 | Order = 0 | Background = 0.29530172242145136
z_target = 0.01 | z_anchor = 0.013 | Order = 1 | Background = 0.001061427614726908
z_target = 0.01 | z_anchor = 0.013 | Order = 2 | Background = 2.9844029664982037e-6
z_target = 0.01 | z_anchor = 0.013 | Order = 3 | Background = -2.2564308491129555e-7
z_target = 0.01 | z_anchor = 0.019 | Order = 0 | Background = 0.8794702786945192
z_target = 0.01 | z_anchor = 0.019 | Order = 1 | Background = 0.009595428485579635
z_target = 0.01 | z_anchor = 0.019 | Order = 2 | Background = 8.08973457721042e-5
z_target = 0.01 | z_anchor = 0.019 | Order = 3 | Background = 3.5242750211240575e-7
z_target = 0.01 | z_anchor = 0.000 | Order = 0 | Background = -0.9999908669258093
z_target = 0.01 | z_anchor = 0.000 | Order = 1 | Background = -0.08668524090451443
z_target = 0.01 | z_anchor = 0.000 | Order = 2 | Background = -0.10423132736442774
z_target = 0.01 | z_anchor = 0.000 | Order = 3 | Background = 0.29824818481602133
z_target = 0.01 | z_anchor = 0.007 | Order = 0 | Background = -0.29517488023879696
z_target = 0.01 | z_anchor = 0.007 | Order = 1 | Background = 0.0010387987073562717
z_target = 0.01 | z_anchor = 0.007 | Order = 2 | Background = -3.2192556880565954e-6
z_target = 0.01 | z_anchor = 0.007 | Order = 3 | Background = 1.372744653496705e-7
z_target = 0.01 | z_anchor = 0.013 | Order = 0 | Background = 0.29530172242145136
z_target = 0.01 | z_anchor = 0.013 | Order = 1 | Background = 0.001061427614726908
z_target = 0.01 | z_anchor = 0.013 | Order = 2 | Background = 2.9844029664982037e-6
z_target = 0.01 | z_anchor = 0.013 | Order = 3 | Background = -2.2564308491129555e-7
z_target = 0.01 | z_anchor = 0.019 | Order = 0 | Background = 0.8794702786945192
z_target = 0.01 | z_anchor = 0.019 | Order = 1 | Background = 0.009595428485579635
z_target = 0.01 | z_anchor = 0.019 | Order = 2 | Background = 8.08973457721042e-5
z_target = 0.01 | z_anchor = 0.019 | Order = 3 | Background = 3.5242750211240575e-7
z_target = 0.01 | z_anchor = 0.000 | Order = 0 | Background = -0.9999908669258093
z_target = 0.01 | z_anchor = 0.000 | Order = 1 | Background = -0.08668524090451443
z_target = 0.01 | z_anchor = 0.000 | Order = 2 | Background = -0.10423132736442774
z_target = 0.01 | z_anchor = 0.000 | Order = 3 | Background = 0.29824818481602133
z_target = 0.01 | z_anchor = 0.007 | Order = 0 | Background = -0.29517488023879696
z_target = 0.01 | z_anchor = 0.007 | Order = 1 | Background = 0.0010387987073562717
z_target = 0.01 | z_anchor = 0.007 | Order = 2 | Background = -3.2192556880565954e-6
z_target = 0.01 | z_anchor = 0.007 | Order = 3 | Background = 1.372744653496705e-7
z_target = 0.01 | z_anchor = 0.013 | Order = 0 | Background = 0.29530172242145136
z_target = 0.01 | z_anchor = 0.013 | Order = 1 | Background = 0.001061427614726908
z_target = 0.01 | z_anchor = 0.013 | Order = 2 | Background = 2.9844029664982037e-6
z_target = 0.01 | z_anchor = 0.013 | Order = 3 | Background = -2.2564308491129555e-7
z_target = 0.01 | z_anchor = 0.019 | Order = 0 | Background = 0.8794702786945192
z_target = 0.01 | z_anchor = 0.019 | Order = 1 | Background = 0.009595428485579635
z_target = 0.01 | z_anchor = 0.019 | Order = 2 | Background = 8.08973457721042e-5
z_target = 0.01 | z_anchor = 0.019 | Order = 3 | Background = 3.5242750211240575e-7
