z = 0.001 | Map = dA | Background = -0.08565313846876395
z = 0.001 | Map = dA_z | Background = -0.09054591690700373
z = 0.001 | Map = dA_zz | Background = 2.1222764524392836
z = 0.001 | Map = dA_zzz | Background = 2575.0510549121195
z = 0.002 | Map = dA | Background = -0.08729671773238375
z = 0.002 | Map = dA_z | Background = -0.09306522275455008
z = 0.002 | Map = dA_zz | Background = -0.9515147164348844
z = 0.002 | Map = dA_zzz | Background = 1467.8904999230244
z = 0.003 | Map = dA | Background = -0.08951593475807093
z = 0.003 | Map = dA_z | Background = -0.07047051787756035
z = 0.003 | Map = dA_zz | Background = -0.09723995164764862
z = 0.003 | Map = dA_zzz | Background = 687.3327370843633
z = 0.004 | Map = dA | Background = -0.08155153454756112
z = 0.004 | Map = dA_z | Background = -0.0003326602414720994
z = 0.004 | Map = dA_zz | Background = -6.839558648283101e-5
z = 0.004 | Map = dA_zzz | Background = 327.9714064842145
z = 0.005 | Map = dA | Background = -0.026716420017365426
z = 0.005 | Map = dA_z | Background = -0.00028887215379586685
z = 0.005 | Map = dA_zz | Background = -4.9527639468409365e-5
z = 0.005 | Map = dA_zzz | Background = 175.6308450369213
z = 0.006 | Map = dA | Background = -0.0014548425251910868
z = 0.006 | Map = dA_z | Background = -0.00025032765089477585
z = 0.006 | Map = dA_zz | Background = -2.271787982880794e-5
z = 0.006 | Map = dA_zzz | Background = 68.31120050578319
z = 0.007 | Map = dA | Background = -0.0001605117710290112
z = 0.007 | Map = dA_z | Background = -0.00021591165319677531
z = 0.007 | Map = dA_zz | Background = -1.9175199853555856e-5
z = 0.007 | Map = dA_zzz | Background = 0.00013869818480432997
z = 0.008 | Map = dA | Background = -0.00014115730881945435
z = 0.008 | Map = dA_z | Background = -0.0001830692811923325
z = 0.008 | Map = dA_zz | Background = -1.6840003580607813e-5
z = 0.008 | Map = dA_zzz | Background = 0.00012051179430718051
z = 0.009 | Map = dA | Background = -0.0001261589590022723
z = 0.009 | Map = dA_z | Background = -0.0001525292393179702
z = 0.009 | Map = dA_zz | Background = -1.4730086703358685e-5
z = 0.009 | Map = dA_zzz | Background = 0.00010401959161145693
z = 0.010 | Map = dA | Background = -0.00011396105918770984
z = 0.010 | Map = dA_z | Background = -0.0001224978811616055
z = 0.010 | Map = dA_zz | Background = -1.2863252386503243e-5
z = 0.010 | Map = dA_zzz | Background = 8.810055345350828e-5
z = 0.011 | Map = dA | Background = -0.00010398154175172123
z = 0.011 | Map = dA_z | Background = -9.259460494469148e-5
z = 0.011 | Map = dA_zz | Background = -1.1277862538396737e-5
z = 0.011 | Map = dA_zzz | Background = 7.312063275329227e-5
z = 0.012 | Map = dA | Background = -9.572539589555357e-5
z = 0.012 | Map = dA_z | Background = -6.448680089995594e-5
z = 0.012 | Map = dA_zz | Background = -9.777555626020435e-6
z = 0.012 | Map = dA_zzz | Background = 5.843797634962016e-5
z = 0.013 | Map = dA | Background = -8.861590103382624e-5
z = 0.013 | Map = dA_z | Background = -3.737192566248332e-5
z = 0.013 | Map = dA_zz | Background = -8.859739903949712e-6
z = 0.013 | Map = dA_zzz | Background = 4.430209292373691e-5
z = 0.014 | Map = dA | Background = -8.285255897254125e-5
z = 0.014 | Map = dA_z | Background = -1.0129140256911944e-5
z = 0.014 | Map = dA_zz | Background = -7.701776754809823e-6
z = 0.014 | Map = dA_zzz | Background = 2.9919165807517858e-5
z = 0.015 | Map = dA | Background = -7.763501642348852e-5
z = 0.015 | Map = dA_z | Background = -2.6191285429879407e-6
z = 0.015 | Map = dA_zz | Background = -6.6160049753519835e-6
z = 0.015 | Map = dA_zzz | Background = 1.62621977895494e-5
z = 0.016 | Map = dA | Background = -7.311549880249966e-5
z = 0.016 | Map = dA_z | Background = -2.614979482283798e-6
z = 0.016 | Map = dA_zz | Background = -2.434776502401843e-7
z = 0.016 | Map = dA_zzz | Background = 2.6827497491743834e-6
z = 0.017 | Map = dA | Background = -6.891467692317229e-5
z = 0.017 | Map = dA_z | Background = -2.6198386611714186e-6
z = 0.017 | Map = dA_zz | Background = 2.842782783871526e-6
z = 0.017 | Map = dA_zzz | Background = -2.7937784110010206e-6
z = 0.018 | Map = dA | Background = -6.556859112302429e-5
z = 0.018 | Map = dA_z | Background = -2.6073088862918438e-6
z = 0.018 | Map = dA_zz | Background = 2.828824868438175e-6
z = 0.018 | Map = dA_zzz | Background = -2.775471433063342e-6
z = 0.019 | Map = dA | Background = -6.235721757141881e-5
z = 0.019 | Map = dA_z | Background = -2.6050852214962837e-6
z = 0.019 | Map = dA_zz | Background = 2.8269013458983793e-6
z = 0.019 | Map = dA_zzz | Background = -2.773092947580605e-6
z = 0.020 | Map = dA | Background = -5.95665055720594e-5
z = 0.020 | Map = dA_z | Background = -2.597896611612135e-6
z = 0.020 | Map = dA_zz | Background = 2.8191982107736554e-6
z = 0.020 | Map = dA_zzz | Background = -2.7631194117897135e-6
z = 0.001 | Map = dA | Background = -0.08565313846876395
z = 0.001 | Map = dA_z | Background = -0.09054591690700373
z = 0.001 | Map = dA_zz | Background = 2.1222764524392836
z = 0.001 | Map = dA_zzz | Background = 2575.0510549121195
z = 0.002 | Map = dA | Background = -0.08729671773238375
z = 0.002 | Map = dA_z | Background = -0.09306522275455008
z = 0.002 | Map = dA_zz | Background = -0.9515147164348844
z = 0.002 | Map = dA_zzz | Background = 1467.8904999230244
z = 0.003 | Map = dA | Background = -0.08951593475807093
z = 0.003 | Map = dA_z | Background = -0.07047051787756035
z = 0.003 | Map = dA_zz | Background = -0.09723995164764862
z = 0.003 | Map = dA_zzz | Background = 687.3327370843633
z = 0.004 | Map = dA | Background = -0.08155153454756112
z = 0.004 | Map = dA_z | Background = -0.0003326602414720994
z = 0.004 | Map = dA_zz | Background = -6.839558648283101e-5
z = 0.004 | Map = dA_zzz | Background = 327.9714064842145
z = 0.005 | Map = dA | Background = -0.026716420017365426
z = 0.005 | Map = dA_z | Background = -0.00028887215379586685
z = 0.005 | Map = dA_zz | Background = -4.9527639468409365e-5
z = 0.005 | Map = dA_zzz | Background = 175.6308450369213
z = 0.006 | Map = dA | Background = -0.0014548425251910868
z = 0.006 | Map = dA_z | Background = -0.00025032765089477585
z = 0.006 | Map = dA_zz | Background = -2.271787982880794e-5
z = 0.006 | Map = dA_zzz | Background = 68.31120050578319
z = 0.007 | Map = dA | Background = -0.0001605117710290112
z = 0.007 | Map = dA_z | Background = -0.00021591165319677531
z = 0.007 | Map = dA_zz | Background = -1.9175199853555856e-5
z = 0.007 | Map = dA_zzz | Background = 0.00013869818480432997
z = 0.008 | Map = dA | Background = -0.00014115730881945435
z = 0.008 | Map = dA_z | Background = -0.0001830692811923325
z = 0.008 | Map = dA_zz | Background = -1.6840003580607813e-5
z = 0.008 | Map = dA_zzz | Background = 0.00012051179430718051
z = 0.009 | Map = dA | Background = -0.0001261589590022723
z = 0.009 | Map = dA_z | Background = -0.0001525292393179702
z = 0.009 | Map = dA_zz | Background = -1.4730086703358685e-5
z = 0.009 | Map = dA_zzz | Background = 0.00010401959161145693
z = 0.010 | Map = dA | Background = -0.00011396105918770984
z = 0.010 | Map = dA_z | Background = -0.0001224978811616055
z = 0.010 | Map = dA_zz | Background = -1.2863252386503243e-5
z = 0.010 | Map = dA_zzz | Background = 8.810055345350828e-5
z = 0.011 | Map = dA | Background = -0.00010398154175172123
z = 0.011 | Map = dA_z | Background = -9.259460494469148e-5
z = 0.011 | Map = dA_zz | Background = -1.1277862538396737e-5
z = 0.011 | Map = dA_zzz | Background = 7.312063275329227e-5
z = 0.012 | Map = dA | Background = -9.572539589555357e-5
z = 0.012 | Map = dA_z | Background = -6.448680089995594e-5
z = 0.012 | Map = dA_zz | Background = -9.777555626020435e-6
z = 0.012 | Map = dA_zzz | Background = 5.843797634962016e-5
z = 0.013 | Map = dA | Background = -8.861590103382624e-5
