z_target = 0.002 | z_anchor = 0.000 | Order = 0 | Background = -0.9999487811620268
z_target = 0.002 | z_anchor = 0.000 | Order = 1 | Background = 0.024436328420503785
z_target = 0.002 | z_anchor = 0.000 | Order = 2 | Background = -0.009644815187372851
z_target = 0.002 | z_anchor = 0.000 | Order = 3 | Background = 0.008409259514632375
z_target = 0.002 | z_anchor = 0.001 | Order = 0 | Background = -0.4929889105997734
z_target = 0.002 | z_anchor = 0.001 | Order = 1 | Background = 0.007339649369870072
z_target = 0.002 | z_anchor = 0.001 | Order = 2 | Background = -0.0022179484838937705
z_target = 0.002 | z_anchor = 0.001 | Order = 3 | Background = 0.0003978795286135933
z_target = 0.002 | z_anchor = 0.003 | Order = 0 | Background = 0.4767944369187138
z_target = 0.002 | z_anchor = 0.003 | Order = 1 | Background = 0.0014276471750044937
z_target = 0.002 | z_anchor = 0.003 | Order = 2 | Background = 0.0020582097950065316
z_target = 0.002 | z_anchor = 0.003 | Order = 3 | Background = 0.0004859007878056539
z_target = 0.002 | z_anchor = 0.005 | Order = 0 | Background = 1.4176470602965388
z_target = 0.002 | z_anchor = 0.005 | Order = 1 | Background = -0.012261550625289462
z_target = 0.002 | z_anchor = 0.005 | Order = 2 | Background = -0.004125011490839066
z_target = 0.002 | z_anchor = 0.005 | Order = 3 | Background = 0.011905073581140645
z_target = 0.002 | z_anchor = 0.000 | Order = 0 | Background = -0.9999487811620268
z_target = 0.002 | z_anchor = 0.000 | Order = 1 | Background = 0.024436328420503785
z_target = 0.002 | z_anchor = 0.000 | Order = 2 | Background = -0.009644815187372851
z_target = 0.002 | z_anchor = 0.000 | Order = 3 | Background = 0.008409259514632375
z_target = 0.002 | z_anchor = 0.001 | Order = 0 | Background = -0.4929889105997734
z_target = 0.002 | z_anchor = 0.001 | Order = 1 | Background = 0.007339649369870072
z_target = 0.002 | z_anchor = 0.001 | Order = 2 | Background = -0.0022179484838937705
z_target = 0.002 | z_anchor = 0.001 | Order = 3 | Background = 0.0003978795286135933
z_target = 0.002 | z_anchor = 0.003 | Order = 0 | Background = 0.4767944369187138
z_target = 0.002 | z_anchor = 0.003 | Order = 1 | Background = 0.0014276471750044937
z_target = 0.002 | z_anchor = 0.003 | Order = 2 | Background = 0.0020582097950065316
z_target = 0.002 | z_anchor = 0.003 | Order = 3 | Background = 0.0004859007878056539
z_target = 0.002 | z_anchor = 0.005 | Order = 0 | Background = 1.4176470602965388
z_target = 0.002 | z_anchor = 0.005 | Order = 1 | Background = -0.012261550625289462
z_target = 0.002 | z_anchor = 0.005 | Order = 2 | Background = -0.004125011490839066
z_target = 0.002 | z_anchor = 0.005 | Order = 3 | Background = 0.011905073581140645
z_target = 0.002 | z_anchor = 0.000 | Order = 0 | Background = -0.9999487811620268
z_target = 0.002 | z_anchor = 0.000 | Order = 1 | Background = 0.024436328420503785
z_target = 0.002 | z_anchor = 0.000 | Order = 2 | Background = -0.009644815187372851
z_target = 0.002 | z_anchor = 0.000 | Order = 3 | Background = 0.008409259514632375
z_target = 0.002 | z_anchor = 0.001 | Order = 0 | Background = -0.4929889105997734
z_target = 0.002 | z_anchor = 0.001 | Order = 1 | Background = 0.007339649369870072
z_target = 0.002 | z_anchor = 0.001 | Order = 2 | Background = -0.0022179484838937705
z_target = 0.002 | z_anchor = 0.001 | Order = 3 | Background = 0.0003978795286135933
z_target = 0.002 | z_anchor = 0.003 | Order = 0 | Background = 0.4767944369187138
z_target = 0.002 | z_anchor = 0.003 | Order = 1 | Background = 0.0014276471750044937
z_target = 0.002 | z_anchor = 0.003 | Order = 2 | Background = 0.0020582097950065316
